ORF	Gene_name	Phenotypic_potential	AMS_PPI_degree	LC_SLI_degree	Haploid_fitness	Description
YEL038W	UTR4	0.6235	NA	1	0.955	Protein of unknown function, found in both the cytoplasm and nucleus
YDL222C	FMP45	0.6234	NA	NA	1.008	Integral membrane protein localized to mitochondria (untagged protein) and eisosomes, immobile patches at the cortex associated with endocytosis; sporulation and sphingolipid content are altered in mutants; has homologs SUR7 and YNL194C
YDR034C	LYS14	0.6233	1	NA	0.955	Transcriptional activator involved in regulation of genes of the lysine biosynthesis pathway; requires 2-aminoadipate semialdehyde as co-inducer
YJR030C	YJR030C	0.6232	NA	NA	1.035	Putative protein of unknown function; expression repressed in carbon limited vs carbon replete chemostat cultures; YJR030C is a non-essential gene
YKR035W-A	DID2	0.6231	NA	1	0.896	Class E protein of the vacuolar protein-sorting (Vps) pathway, associates reversibly with the late endosome, has human ortholog that may be altered in breast tumors
YGL064C	MRH4	0.623	2	NA	0.747	Mitochondrial RNA helicase of the DEAD-box family, plays an essential role in mitochondrial function
YDL211C	YDL211C	0.6227	NA	NA	1.031	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole
YDR090C	YDR090C	0.6225	NA	NA	1.037	Putative protein of unknown function
YKL175W	ZRT3	0.6225	NA	NA	1.034	Vacuolar membrane zinc transporter, transports zinc from storage in the vacuole to the cytoplasm when needed; transcription is induced under conditions of zinc deficiency
YPR040W	TIP41	0.6221	6	1	0.932	Protein that interacts physically and genetically with Tap42p, which regulates protein phosphatase 2A; component of the TOR (target of rapamycin) signaling pathway
YBR290W	BSD2	0.6217	NA	3	0.97	Heavy metal ion homeostasis protein, facilitates trafficking of Smf1p and Smf2p metal transporters to the vacuole where they are degraded, controls metal ion transport, prevents metal hyperaccumulation, functions in copper detoxification
YHR194W	MDM31	0.6216	NA	9	1.038	Mitochondrial inner membrane protein with similarity to Mdm32p, required for normal mitochondrial morphology and inheritance; interacts genetically with MMM1, MDM10, MDM12, and MDM34
YKL187C	YKL187C	0.6212	NA	NA	1.059	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YEL016C	NPP2	0.621	1	NA	1.001	Nucleotide pyrophosphatase/phosphodiesterase family member; mediates extracellular nucleotide phosphate hydrolysis along with Npp1p and Pho5p; activity and expression enhanced during conditions of phosphate starvation
YPL019C	VTC3	0.6209	1	NA	1.019	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in non-autophagic vacuolar fusion
YIL164C	NIT1	0.6208	NA	NA	1.008	Nitrilase, member of the nitrilase branch of the nitrilase superfamily; in closely related species and other S. cerevisiae strain backgrounds YIL164C and adjacent ORF, YIL165C, likely constitute a single ORF encoding a nitrilase gene
YBL029W	YBL029W	0.6207	1	NA	1.029	Non-essential protein of unknown function
YMR161W	HLJ1	0.6207	NA	NA	1.031	Co-chaperone for Hsp40p, anchored in the ER membrane; with its homolog Hdj1p promotes ER-associated protein degradation (ERAD) of integral membrane substrates; similar to E. coli DnaJ
YDL053C	PBP4	0.6207	13	NA	0.971	Pbp1p binding protein, interacts strongly with Pab1p-binding protein 1 (Pbp1p) in the yeast two-hybrid system; also interacts with Lsm12p in a copurification assay
YGR275W	RTT102	0.6203	46	NA	0.983	Component of both the SWI/SNF and RSC chromatin remodeling complexes, suggested role in chromosome maintenance; possible weak regulator of Ty1 transposition
YJR140C	HIR3	0.6202	10	7	1.019	Transcriptional corepressor involved in the cell cycle-regulated transcription of histone genes HTA1, HTB1, HHT1, and HHT2; involved in position-dependent gene silencing and nucleosome reassembly
YLR063W	YLR063W	0.6197	NA	NA	1.006	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR063W is not an essential gene
YGL084C	GUP1	0.6197	NA	14	0.909	Plasma membrane protein with a possible role in proton symport of glycerol; member of the MBOAT family of putative membrane-bound O-acyltransferases
YHR092C	HXT4	0.6196	NA	NA	0.972	High-affinity glucose transporter of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose
YER167W	BCK2	0.6196	1	7	1.041	Protein rich in serine and threonine residues involved in protein kinase C signaling pathway, which controls cell integrity; overproduction suppresses pkc1 mutations
YPR185W	ATG13	0.6195	NA	NA	0.99	Phosphorylated protein that interacts with Vac8p, required for the cytoplasm-to-vacuole targeting (Cvt) pathway and autophagy
YOL100W	PKH2	0.6193	5	1	0.812	Serine/threonine protein kinase involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p, components of signaling cascade required for maintenance of cell wall integrity; redundant with Pkh1p
YDR496C	PUF6	0.6193	78	NA	0.942	Pumilio-homology domain protein that binds ASH1 mRNA at PUF consensus sequences in the 3' UTR and represses its translation, resulting in proper asymmetric localization of ASH1 mRNA
YMR209C	YMR209C	0.6192	2	NA	0.982	Putative protein of unknown function; YMR209C is not an essential gene
YKR056W	TRM2	0.6191	1	1	1.014	tRNA methyltransferase, 5-methylates the uridine residue at position 54 of tRNAs and may also have a role in tRNA stabilization or maturation; endo-exonuclease with a role in DNA repair
YGL162W	SUT1	0.6189	NA	NA	1.051	Transcription factor of the Zn[II]2Cys6 family involved in sterol uptake; involved in induction of hypoxic gene expression
YIL128W	MET18	0.6188	17	5	0.645	DNA repair and TFIIH regulator, required for both nucleotide excision repair (NER) and RNA polymerase II (RNAP II) transcription; involved in telomere maintenance
YDR296W	MHR1	0.6186	32	NA	0.733	Protein involved in homologous recombination in mitochondria and in transcription regulation in nucleus; binds to activation domains of acidic activators; required for recombination-dependent mtDNA partitioning
YJL038C	YJL038C	0.6184	NA	NA	0.981	Putative protein of unknown function; expression induced during sporulation and repressed during vegetative growth by Sum1p and Hst1p; similar to adjacent open reading frame, YJL037W
YDR119W	YDR119W	0.6184	NA	NA	0.937	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to vacuolar membrane; YDR119W is not an essential gene
YLR415C	YLR415C	0.6184	NA	NA	1.013	Putative protein of unknown function; YLR415C is not an essential gene
YER055C	HIS1	0.6182	NA	NA	NA	ATP phosphoribosyltransferase, a hexameric enzyme, catalyzes the first step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control
YOR283W	YOR283W	0.6182	2	NA	1.044	Putative protein of unknown function with some similarity to GPM1/YKL152C, a phosphoglycerate mutase; YOR283W is not an essential gene
YNL092W	YNL092W	0.6176	4	NA	1.019	Putative S-adenosylmethionine-dependent methyltransferase of the seven beta-strand family; YNL092W is not an essential gene
YBL069W	AST1	0.6175	NA	1	0.989	Peripheral membrane protein that interacts with the plasma membrane ATPase Pma1p and has a role in its targeting to the plasma membrane, possibly by influencing its incorporation into lipid rafts
YPL066W	YPL066W	0.6172	5	1	0.997	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the bud neck and cytoplasm; null mutant is viable and exhibits growth defect on a non-fermentable (respiratory) carbon source
YPR042C	PUF2	0.6172	NA	NA	1.034	Member of the PUF protein family, which is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding membrane-associated proteins
YER046W	SPO73	0.6169	NA	NA	1.05	Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensible for both nuclear divisions during meiosis
YDL032W	YDL032W	0.6168	NA	NA	0.937	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene SLM3/YDL033C; YDL032W is not an essential gene
YJR109C	CPA2	0.6167	17	NA	1.043	Large subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor
YOR171C	LCB4	0.6164	NA	NA	1.027	Sphingoid long-chain base kinase, responsible for synthesis of long-chain base phosphates, which function as signaling molecules, regulates synthesis of ceramide from exogenous long-chain bases, localizes to the Golgi and late endosomes
YNL277W	MET2	0.6164	NA	NA	1.09	L-homoserine-O-acetyltransferase, catalyzes the conversion of homoserine to O-acetyl homoserine which is the first step of the methionine biosynthetic pathway
YPL116W	HOS3	0.6163	3	NA	1.033	Trichostatin A-insensitive homodimeric histone deacetylase (HDAC) with specificity in vitro for histones H3, H4, H2A, and H2B; similar to Hda1p, Rpd3p, Hos1p, and Hos2p; deletion results in increased histone acetylation at rDNA repeats
YHR163W	SOL3	0.6163	NA	NA	1	6-phosphogluconolactonase, catalyzes the second step of the pentose phosphate pathway; weak multicopy suppressor of los1-1 mutation; homologous to Sol2p and Sol1p
YIL052C	RPL34B	0.6162	2	3	0.998	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl34Ap and has similarity to rat L34 ribosomal protein
YMR127C	SAS2	0.6161	14	1	1.051	Histone acetyltransferase (HAT) catalytic subunit of the SAS complex (Sas2p-Sas4p-Sas5p), which acetylates free histones and nucleosomes and regulates transcriptional silencing; member of the MYSTacetyltransferase family
YOR029W	YOR029W	0.616	NA	NA	1.045	Hypothetical protein
YJR035W	RAD26	0.6159	21	5	1.016	Protein involved in transcription-coupled repair nucleotide excision repair of UV-induced DNA lesions; homolog of human CSB protein
YJL089W	SIP4	0.6158	NA	NA	1.021	C6 zinc cluster transcriptional activator that binds to the carbon source-responsive element (CSRE) of gluconeogenic genes; involved in the positive regulation of gluconeogenesis; regulated by Snf1p protein kinase; localized to the nucleus
YMR303C	ADH2	0.6155	15	NA	1.091	Glucose-repressible alcohol dehydrogenase II, catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1
YFR045W	YFR045W	0.6153	NA	2	1.055	Putative mitochondrial transport protein; null mutant is viable, exhibits decreased levels of chitin and normal resistance to calcofluor white
YDR270W	CCC2	0.6153	1	NA	0.952	Cu(+2)-transporting P-type ATPase, required for export of copper from the cytosol into an extracytosolic compartment; has similarity to human proteins involved in Menkes and Wilsons diseases
YLR341W	SPO77	0.615	1	NA	1.019	Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis
YCR085W	YCR085W	0.615	NA	NA	0.989	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
YKR060W	UTP30	0.615	28	NA	0.994	Possible U3 snoRNP protein involved in maturation of pre-18S rRNA, based on computational analysis of large-scale protein-protein interaction data
YLL041C	SDH2	0.615	2	NA	0.963	Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone
YNL179C	YNL179C	0.6149	NA	NA	1.013	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; deletion in cyr1 mutant results in loss of stress resistance
YER037W	PHM8	0.6148	NA	NA	1.003	Protein of unknown function, expression is induced by low phosphate levels and by inactivation of Pho85p
YGR123C	PPT1	0.6147	3	NA	0.995	Protein serine/threonine phosphatase with similarity to human phosphatase PP5; present in both the nucleus and cytoplasm; expressed during logarithmic growth
YKR075C	YKR075C	0.6145	NA	NA	0.949	Protein of unknown function; similar to YOR062Cp and Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS
YPR079W	MRL1	0.6144	NA	2	1	Membrane protein with similarity to mammalian mannose-6-phosphate receptors, possibly functions as a sorting receptor in the delivery of vacuolar hydrolases
YLR015W	BRE2	0.6142	11	18	0.774	Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; involved in telomere maintenance; similar to trithorax-group protein ASH2L
YJL139C	YUR1	0.6142	NA	5	0.947	Mannosyltransferase of the KTR1 family, involved in protein N-glycosylation; located in the Golgi apparatus
YOR042W	CUE5	0.6141	5	NA	1.017	Protein containing a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
YCR051W	YCR051W	0.6141	NA	NA	0.987	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; contains ankyrin (Ank) repeats; YCR051W is not an essential gene
YKL084W	HOT13	0.614	NA	NA	1.056	Mitochondrial intermembrane space protein, first component of a pathway mediating assembly of small TIM (Translocase of the Inner Membrane) complexes which escort hydrophobic inner membrane proteins en route to the TIM22 complex
YFR011C	YFR011C	0.614	2	NA	1.03	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YFR011C is not an essential gene
YJL088W	ARG3	0.6139	2	NA	0.991	Ornithine carbamoyltransferase (carbamoylphosphate:L-ornithine carbamoyltransferase), catalyzes the sixth step in the biosynthesis of the arginine precursor ornithine
YHR103W	SBE22	0.6138	1	NA	0.969	Protein involved in the transport of cell wall components from the Golgi to the cell surface; similar in structure and functionally redundant with Sbe2p; involved in bud growth
YJR037W	YJR037W	0.6136	NA	NA	1.037	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene HUL4/YJR036C; YJR037W is not an essential gene.
YGR037C	ACB1	0.6133	7	NA	0.96	Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes
YPR063C	YPR063C	0.6132	NA	NA	1.004	ER-localized protein of unknown function
YPL247C	YPL247C	0.6131	3	NA	1.033	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; similar to the petunia WD repeat protein an11; YPL247C is not an essential gene
YBR114W	RAD16	0.613	21	2	0.99	Protein that recognizes and binds damaged DNA in an ATP-dependent manner (with Rad7p) during nucleotide excision repair; subunit of Nucleotide Excision Repair Factor 4 (NEF4); member of the SWI/SNF family
YOL109W	ZEO1	0.613	6	1	1.013	Peripheral membrane protein of the plasma membrane that interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p
YDL095W	PMT1	0.613	26	3	1.011	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt2p, can instead interact with Pmt3p in some conditions; target for new antifungals
YGL154W	YGL154W	NA	NA	NA	NA	NA
YOR357C	SNX3	0.6128	NA	NA	1.008	Sorting nexin required to maintain late-Golgi resident enzymes in their proper location by recycling molecules from the prevacuolar compartment; contains a PX domain and sequence similarity to human Snx3p
YPL154C	PEP4	0.6127	5	NA	0.999	Vacuolar aspartyl protease (proteinase A), required for the posttranslational precursor maturation of vacuolar proteinases; important for protein turnover after oxidative damage; synthesized as a zymogen, self-activates
YGR242W	YGR242W	0.6125	NA	NA	0.947	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF YAP1802/YGR241C
YDR285W	ZIP1	0.6124	NA	NA	1.005	Transverse filament protein of the synaptonemal complex; required for normal levels of meiotic recombination and pairing between homologous chromosome during meiosis; potential Cdc28p substrate
YFL055W	AGP3	0.6123	NA	NA	0.976	Low-affinity amino acid permease, may act to supply the cell with amino acids as nitrogen source in nitrogen-poor conditions; transcription is induced under conditions of sulfur limitation
YDL146W	LDB17	0.6123	NA	NA	0.585	Protein of unknown function; GFP-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck; null mutant shows a reduced affinity for the alcian blue dye suggesting a decreased net negative charge of the cell surface
YJR047C	ANB1	0.6123	1	1	1.009	Translation initiation factor eIF-5A, promotes formation of the first peptide bond; similar to and functionally redundant with Hyp2p; undergoes an essential hypusination modification; expressed under anaerobic conditions
YOR133W	EFT1	0.6123	48	1	1.011	Elongation factor 2 (EF-2), also encoded by EFT2; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin
YKL038W	RGT1	0.6121	1	NA	1.045	Glucose-responsive transcription factor that regulates expression of several glucose transporter (HXT) genes in response to glucose; binds to promoters and acts both as a transcriptional activator and repressor
YMR023C	MSS1	0.6118	3	NA	1.013	Mitochondrial protein, forms a heterodimer complex with Mto1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; similar to human GTPBP3
YLR050C	YLR050C	0.6117	NA	NA	0.977	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YLR050C is not an essential gene
YGR054W	YGR054W	0.6115	16	3	NA	Eukaryotic initiation factor (eIF) 2A; associates specifically with both 40S subunits and 80 S ribosomes, and interacts genetically with both eIF5b and eIF4E; homologous to mammalian eIF2A
YKL213C	DOA1	0.6112	7	5	0.831	WD repeat protein required for ubiquitin-mediated protein degradation, forms complex with Cdc48p, plays a role in controlling cellular ubiquitin concentration; also promotes efficient NHEJ in postdiauxic/stationary phase
YLL057C	JLP1	0.6109	NA	NA	1.005	Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase, involved in sulfonate catabolism for use as a sulfur source, contains sequence that closely resembles a J domain (typified by the E. coli DnaJ protein)
YHR185C	PFS1	0.6108	4	NA	1.029	Sporulation protein required for prospore membrane formation at selected spindle poles, ensures functionality of all four spindle pole bodies of a cell during meiosis II; not required for meiotic recombination or meiotic chromosome segregation
YLR036C	YLR036C	0.6107	NA	NA	0.985	Putative protein of unknown function predicted to have transmembrane domains; interacts with HSP90 by yeast two-hybrid analysis; YLR036C is not an essential protein
YHR022C	YHR022C	0.6107	NA	NA	0.985	Putative protein of unknown function; YHR022C is not an essential gene.
YMR180C	CTL1	0.6107	NA	NA	1.001	RNA 5'-triphosphatase, localizes to both the nucleus and cytoplasm
YNL194C	YNL194C	0.6103	NA	NA	1.006	Integral membrane protein localized to eisosomes; sporulation and plasma membrane sphingolipid content are altered in mutants; has homologs SUR7 and FMP45; GFP-fusion protein is induced in response to the DNA-damaging agent MMS
YER164W	CHD1	0.6102	37	4	0.97	Nucleosome remodeling factor that functions in regulation of transcription elongation; contains a chromo domain, a helicase domain and a DNA-binding domain; component of both the SAGA and SILK complexes
YIL073C	SPO22	0.6102	NA	NA	0.954	Meiosis-specific protein essential for chromosome synapsis, similar to phospholipase A2, involved in completion of nuclear divisions during meiosis; induced early in meiosis
YHR078W	YHR078W	0.6102	NA	NA	0.972	High osmolarity-regulated gene of unknown function
YDR193W	YDR193W	0.6098	NA	NA	1.043	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YLR081W	GAL2	0.6096	1	NA	0.997	Galactose permease, required for utilization of galactose; also able to transport glucose
YBR166C	TYR1	0.6096	4	2	NA	Prephenate dehydrogenase involved in tyrosine biosynthesis, expression is dependent on phenylalanine levels
YAL059W	ECM1	0.6095	8	3	0.887	Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export
YBR018C	GAL7	0.6095	6	NA	1.025	Galactose-1-phosphate uridyl transferase, synthesizes glucose-1-phosphate and UDP-galactose from UDP-D-glucose and alpha-D-galactose-1-phosphate in the second step of galactose catabolism
YPL171C	OYE3	0.6095	2	NA	1.018	Widely conserved NADPH oxidoreductase containing flavin mononucleotide (FMN), homologous to Oye2p with slight differences in ligand binding and catalytic properties; may be involved in sterol metabolism
YPL050C	MNN9	0.6094	9	4	0.651	Subunit of Golgi mannosyltransferase complex also containing Anp1p, Mnn10p, Mnn11p, and Hoc1p that mediates elongation of the polysaccharide mannan backbone; forms a separate complex with Van1p that is also involved in backbone elongation
YBL038W	MRPL16	0.6089	37	NA	0.79	Mitochondrial ribosomal protein of the large subunit
YLR013W	GAT3	0.6089	NA	NA	1.011	Protein containing GATA family zinc finger motifs
YPL267W	ACM1	0.6089	2	NA	1.063	Cell cycle regulated protein of unknown function; associated with Cdh1p and may supress the APC/C[Cdh1]-mediated proteolysis of mitotic cyclins
YKR047W	YKR047W	0.6088	NA	NA	0.977	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene NAP1
YGR050C	YGR050C	0.6087	NA	NA	0.983	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
YCR105W	ADH7	0.6084	2	NA	0.994	NADPH-dependent cinnamyl alcohol dehydrogenase family member with broad substrate specificity; may be involved in fusel alcohol synthesis
YML080W	DUS1	0.6083	NA	NA	0.969	Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus3p, and Dus4p; modifies pre-tRNA(Phe) at U17
YNL122C	YNL122C	0.6082	2	NA	0.969	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL122C is not an essential gene
YGL237C	HAP2	0.6081	34	3	0.926	Subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding
YLR109W	AHP1	0.6079	21	NA	1.012	Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p
YHR012W	VPS29	0.6077	5	14	0.94	Endosomal protein that is a subunit of the membrane-associated retromer complex essential for endosome-to-Golgi retrograde transport; forms a subcomplex with Vps35p and Vps26p that selects cargo proteins for endosome-to-Golgi retrieval
YOR105W	YOR105W	0.6073	NA	NA	1.036	Hypothetical protein
YDR247W	VHS1	0.6073	9	NA	1.038	Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant, suggesting a role in G1/S phase progression; homolog of Sks1p
YKL087C	CYT2	0.6073	NA	NA	0.997	Cytochrome c1 heme lyase, involved in maturation of cytochrome c1, which is a subunit of the mitochondrial ubiquinol-cytochrome-c reductase; links heme covalently to apocytochrome c1
YDL051W	LHP1	0.6072	19	6	1.016	RNA binding protein required for maturation of tRNA and snRNA precursors; acts as a molecular chaperone for RNAs transcribed by polymerase III; homologous to human La (SS-B) autoantigen
YER085C	YER085C	0.6069	NA	NA	1.081	Putative protein of unknown function
YIL024C	YIL024C	0.6068	NA	NA	0.986	Hypothetical protein
YBR244W	GPX2	0.6066	NA	NA	1.049	Phospholipid hydroperoxide glutathione peroxidase induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress
YDR304C	CPR5	0.6065	10	NA	1.052	Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the endoplasmic reticulum, catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; transcriptionally induced in response to unfolded proteins in the ER
YOR325W	YOR325W	0.6065	NA	NA	0.904	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF FRT1
YCL040W	GLK1	0.6063	5	NA	0.943	Glucokinase, catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources
YER087W	YER087W	0.6061	NA	5	NA	Protein with similarity to tRNA synthetases; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YNR034W	SOL1	0.6058	6	NA	1.004	Protein with a possible role in tRNA export; shows similarity to 6-phosphogluconolactonase non-catalytic domains but does not exhibit this enzymatic activity; homologous to Sol2p, Sol3p, and Sol4p
YJL175W	YJL175W	0.6055	NA	NA	0.744	Dubious open reading frame unlikely to encode a functional protein; deletion confers resistance to cisplatin, hypersensitivity to 5-fluorouracil, and growth defect at high pH with high calcium; overlaps gene for SWI3 transcription factor
YBR259W	YBR259W	0.6054	1	NA	1.033	Putative protein of unknown function; YBR259W is not an essential gene
YGL023C	PIB2	0.6054	2	NA	0.916	Protein binding phosphatidylinositol 3-phosphate, involved in telomere-proximal repression of gene expression; similar to Fab1 and Vps27
YOR099W	KTR1	0.6053	NA	NA	1.039	Alpha-1,2-mannosyltransferase involved in O- and N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family
YGR266W	YGR266W	0.6053	2	NA	0.997	Protein of unknown function, predicted to contain a single transmembrane domain; localized to both the mitochondrial outer membrane and the plasma membrane
YBR186W	PCH2	0.6051	1	1	1.042	Nucleolar component of the pachytene checkpoint, which prevents chromosome segregation when recombination and chromosome synapsis are defective; also represses meiotic interhomolog recombination in the rDNA
YNL023C	FAP1	0.6051	13	NA	0.997	Protein that binds to Fpr1p (FKBP12), conferring rapamycin resistance by competing with rapamycin for Fpr1p binding; has similarity to putative transcription factors, including D. melanogaster shuttle craft and human NFX1
YDR058C	TGL2	0.605	1	NA	1.013	Protein with lipolytic activity towards triacylglycerols and diacylglycerols when expressed in E. coli; role in yeast lipid degradation is unclear
YNL339C	YRF1-6	0.6046	NA	NA	1.091	Helicase encoded by the Y' element of subtelomeric regions, highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p
YIR020C	YIR020C	0.6045	NA	NA	0.98	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
YBR003W	COQ1	0.6045	NA	NA	0.868	Hexaprenyl pyrophosphate synthetase, catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis
YKL097C	YKL097C	0.6044	NA	NA	1.034	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related <i>Saccharomyces</i> species
YER067C-A	YER067C-A	0.6042	NA	NA	0.986	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YER067W
YPR022C	YPR022C	0.604	NA	NA	1.098	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS
YGR016W	YGR016W	0.6038	2	NA	0.991	Putative protein of unknown function
YHL022C	SPO11	0.6037	NA	1	0.666	Meiosis-specific protein that initiates meiotic recombination by catalyzing the formation of double-strand breaks in DNA via a transesterification reaction; required for homologous chromosome pairing and synaptonemal complex formation
YER131W	RPS26B	0.6037	13	NA	0.934	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps26Ap and has similarity to rat S26 ribosomal protein
YBL064C	PRX1	0.6036	2	NA	0.942	Mitochondrial peroxiredoxin (1-Cys Prx) with thioredoxin peroxidase activity, has a role in reduction of hydroperoxides; induced during respiratory growth and under conditions of oxidative stress
YOR346W	REV1	0.6036	1	NA	1.005	Deoxycytidyl transferase, forms a complex with the subunits of DNA polymerase zeta, Rev3p and Rev7p; involved in repair of abasic sites in damaged DNA
YOL137W	BSC6	0.6035	NA	NA	1.005	Protein of unknown function containing 8 putative transmembrane seqments; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression
YGR155W	CYS4	0.6035	31	NA	0.984	Cystathionine beta-synthase, catalyzes the synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis
YER118C	SHO1	0.6034	NA	3	0.96	Transmembrane osmosensor, participates in activation of both the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol response pathway
YMR310C	YMR310C	0.6033	8	NA	1.076	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YMR310C is not an essential gene
YER187W	YER187W	0.6031	NA	1	1.015	Putative protein of unknown function; induced in respiratory-deficient cells
YGR244C	LSC2	0.6031	1	NA	1.004	Beta subunit of succinyl-CoA ligase, which is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succinyl-CoA to succinate
YOR276W	CAF20	0.6028	7	1	1.014	Phosphoprotein of the mRNA cap-binding complex involved in translational control, repressor of cap-dependent translation initiation, competes with eIF4G for binding to eIF4E
YDL128W	VCX1	0.6028	NA	NA	0.977	Vacuolar H+/Ca2+ exchanger involved in control of cytosolic Ca2+ concentration; has similarity to sodium/calcium exchangers, including the bovine Na+/Ca2+,K+ antiporter
YGL016W	KAP122	0.6027	12	1	0.899	Karyopherin beta, responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance
