"rank","ORF","GENE","Putative TOR pathway","1 week ","2 week ","5 week ","7 weeks","Description","Function","Localization"
1982,"YPL152W","RRD2",,1.98,1.87,0.23,0.53,"response to osmotic stress*","protein phosphatase type 2A, intrinsic regulator activity","cytosol*"
1983,"YLR454W","FMP27",,0.71,0.75,0.44,1.44,"biological_process unknown","molecular_function unknown","cellular_component unknown"
1984,"YLR444C",,,2.12,1.96,0.17,0.5,,,
1985,"YJR031C","GEA1",,1.1,1.32,1.42,-0.11,"ER to Golgi transport*","ARF guanyl-nucleotide exchange factor activity","Golgi vesicle"
1986,"YMR313C","TGL3",,1.97,0.84,1.62,0.17,"lipid metabolism","triacylglycerol lipase activity","lipid particle"
1987,"YCL023C",,,0.85,0.95,1.34,0.33,,,
1988,"YFL010C","WWM1",,1.3,0.58,1.88,0.17,"response to dessication","molecular_function unknown","cytoplasm*"
1989,"YKL009W","MRT4",,0.07,0.11,0.08,2.44,"rRNA processing*","molecular_function unknown","nucleus*"
1990,"YGL096W","TOS8",,1.07,0.47,1.95,0.2,"biological_process unknown","transcription factor activity","cellular_component unknown"
1991,"YJL168C","SET2",,0.3,0.21,0.25,2.16,"regulation of transcription, DNA-dependent*","histone-lysine N-methyltransferase activity","nucleus"
1992,"YNL141W","AAH1",,1.75,1.66,0.63,0.32,"adenine catabolism","adenine deaminase activity","cytoplasm*"
1993,"YGR130C",,,1.49,0.98,0.95,0.69,"biological_process unknown","molecular_function unknown","cytoplasm"
1994,"YHL033C","RPL8A",,0.72,0.61,0.9,1.11,"protein biosynthesis","structural constituent of ribosome","cytosolic large ribosomal subunit (sensu Eukarya)"
1995,"YJL207C",,,0.71,1.07,1.11,0.43,"biological_process unknown","molecular_function unknown","clathrin-coated vesicle"
1996,"YNL266W",,,1.76,0.93,1.09,0.59,,,
1997,"YPL002C","SNF8",,0.05,0.03,0.02,2.57,"protein-vacuolar targeting*","molecular_function unknown","endosome"
1998,"YOR253W","NAT5",,1.56,2,0.58,0.03,"protein amino acid acetylation","peptide alpha-N-acetyltransferase activity","cytoplasm"
1999,"YOL032W",,,1.78,1.77,0.81,0.03,"biological_process unknown","molecular_function unknown","cytoplasm*"
2000,"YPL057C","SUR1",,1.99,1.65,0.42,0.53,"sphingolipid biosynthesis*","transferase activity, transferring glycosyl groups","intracellular"
2001,"YMR278W",,,1.93,1.19,1.43,-0.01,"biological_process unknown","molecular_function unknown","cytoplasm*"
2002,"YDL171C","GLT1",,1.8,1.39,0.56,0.66,"glutamate biosynthesis","glutamate synthase (NADH) activity","cell"
2003,"YPL064C","CWC27",,1.66,1.55,0.87,0.19,"biological_process unknown","molecular_function unknown","spliceosome complex"
2004,"YNL301C","RPL18B",,0.92,1.27,1.45,-0.11,"protein biosynthesis","structural constituent of ribosome","cytosolic large ribosomal subunit (sensu Eukarya)"
2005,"YJR106W","ECM27",,0.94,1.12,1.31,0.17,"cell wall organization and biogenesis","molecular_function unknown","cellular_component unknown"
2006,"YPR145W","ASN1",,1.61,1.28,0.86,0.47,"asparagine biosynthesis","asparagine synthase (glutamine-hydrolyzing) activity","cytoplasm"
2007,"YLL053C",,,0.48,0.99,0.88,0.73,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2008,"YOR094W","ARF3",,0.92,0.64,1.33,0.63,"intracellular protein transport","ARF small monomeric GTPase activity","cellular_component unknown"
2009,"YIL045W","PIG2",,1.64,0.82,0.98,0.8,"biological_process unknown","protein phosphatase regulator activity","cytoplasm"
2010,"YMR261C","TPS3",,2.37,1.8,0.71,0.09,"response to stress*","alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity","alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
2011,"YCL056C",,,1.67,1.03,1.6,-0.03,"biological_process unknown","molecular_function unknown","cytoplasm"
2012,"YER056C","FCY2",,0.51,0.62,0.8,1.19,"purine transport*","cytosine-purine permease activity","plasma membrane"
2013,"YBR059C","AKL1",,0.81,0.86,1.51,0.23,"biological_process unknown","protein kinase activity","cytoplasm*"
2014,"YOR089C","VPS21",,2.21,1.37,0.74,0.49,"protein-vacuolar targeting*","GTPase activity*","late endosome"
2015,"YML078W","CPR3",,1.63,1.11,0.92,0.57,"protein folding","peptidyl-prolyl cis-trans isomerase activity","mitochondrion"
2016,"YDR295C","HDA2",,1.05,1.34,0.72,0.54,"regulation of transcription, DNA-dependent*","histone deacetylase activity","nucleus*"
2017,"YMR184W",,,1.37,0.63,1.88,0.09,"biological_process unknown","molecular_function unknown","cytoplasm"
2018,"YER066W",,,0.91,1.01,0.77,0.81,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2019,"YHR176W","FMO",,1.22,1.03,0.9,0.66,"protein folding","monooxygenase activity","endoplasmic reticulum membrane"
2020,"YBR037C","SCO1",,0.59,1.31,1.34,-0.06,"protein complex assembly*","molecular_function unknown","mitochondrial inner membrane"
2021,"YKL133C",,,1.94,1.77,0.42,0.4,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2022,"YBR273C",,,0.98,1.25,1.26,0.09,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
2023,"YNL254C",,,2.04,1.71,0.52,0.36,"biological_process unknown","molecular_function unknown","cytoplasm*"
2024,"YMR269W",,,0.95,0.71,1.53,0.35,"biological_process unknown","molecular_function unknown","nucleolus"
2025,"YFR048W","RMD8",,0.37,0.07,0.03,2.49,"biological_process unknown","molecular_function unknown","cytoplasm"
2026,"YLR351C","NIT3",,1.7,1.48,0.22,0.89,"biological_process unknown","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in other compounds","cytoplasm*"
2027,"YHR035W",,,1.37,1.15,2.09,-0.65,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2028,"YDR384C","ATO3",,0.87,0.81,1.31,0.46,"transport*","transporter activity","membrane"
2029,"YIR020W-B",,,1.02,1.1,0.61,0.87,,,
2030,"YNL269W","BSC4",,1.98,1.42,0.56,0.6,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2031,"YGL222C","EDC1",,1.59,0.75,1.48,0.35,"deadenylation-dependent decapping","mRNA binding","cytoplasm"
2032,"YGL211W",,,1.01,0.54,0.83,1.21,"biological_process unknown","molecular_function unknown","mitochondrion"
2033,"YDR535C",,,1.29,0.82,0.34,1.42,,,
2034,"YDL009C",,,1.18,0.94,0.97,0.67,,,
2035,"YDR383C","NKP1",,0.84,0.93,1.03,0.62,"biological_process unknown","molecular_function unknown","kinetochore"
2036,"YPR131C","NAT3",,0.09,0.05,0.02,2.5,"N-terminal peptidyl-methionine acetylation","peptide alpha-N-acetyltransferase activity","cytoplasm"
2037,"YMR087W",,,0.71,1.02,0.95,0.6,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2038,"YCR073C","SSK22",,1.22,0.99,1.49,0.09,"protein amino acid phosphorylation*","MAP kinase kinase kinase activity","cellular_component unknown"
2039,"YFL030W","AGX1",,1.54,1.4,0.69,0.48,"glyoxylate cycle","alanine-glyoxylate transaminase activity","cellular_component unknown"
2040,"YDR117C",,,1.35,1.06,1.49,0.02,"biological_process unknown","RNA binding","cellular_component unknown"
2041,"YOL132W","GAS4",,2.13,1.14,0.87,0.55,"biological_process unknown","molecular_function unknown","cell wall (sensu Fungi)"
2042,"YKL094W","YJU3",,0.58,0.78,0.46,1.32,"biological_process unknown","molecular_function unknown","cytoplasm*"
2043,"YNL068C","FKH2",,1.14,2.94,0.74,-1.13,"pseudohyphal growth*","transcription factor activity","nucleus"
2044,"YOL098C",,,1.18,0.76,0.79,1.02,"biological_process unknown","molecular_function unknown","cytoplasm"
2045,"YMR092C","AIP1",,2.1,1.8,0.25,0.5,"response to osmotic stress*","actin filament severing activity","cytoplasm*"
2046,"YJR096W",,,0.95,1.2,1.31,0.05,"arabinose metabolism*","aldo-keto reductase activity*","cytoplasm*"
2047,"YDR185C",,,1.14,1.01,1.06,0.48,"biological_process unknown","molecular_function unknown","mitochondrion"
2048,"YMR171C",,,0.92,1.09,0.98,0.49,"biological_process unknown","molecular_function unknown","endosome"
2049,"YMR025W","CSI1",,2.15,1.74,0.72,0.09,"adaptation to pheromone during conjugation with cellular fusion*","molecular_function unknown","signalosome complex"
2050,"YNL134C",,,1,1.13,1.12,0.29,"biological_process unknown","alcohol dehydrogenase (NADP) activity","cytoplasm*"
2051,"YJL092W","HPR5",,0.22,0.42,0.26,1.87,"DNA repair*","DNA helicase activity","nucleus"
2052,"YDR220C",,,1.03,1,1.14,0.41,,,
2053,"YKL006W","RPL14A",,0.77,0.26,0.1,2.18,"protein biosynthesis","structural constituent of ribosome*","cytosolic large ribosomal subunit (sensu Eukarya)"
2054,"YNL051W","COG5",,1.44,1.73,0.66,0.16,"intra-Golgi transport","molecular_function unknown","Golgi transport complex"
2055,"YPR069C","SPE3",,1.9,1.46,0.56,0.52,"pantothenate biosynthesis*","spermidine synthase activity","cytoplasm*"
2056,"YHR031C","RRM3",,0.92,0.72,1.49,0.33,"DNA replication","DNA helicase activity*","nuclear telomeric heterochromatin"
2057,"YDL155W","CLB3",,2.14,1.49,0.64,0.41,"G1/S transition of mitotic cell cycle*","cyclin-dependent protein kinase, intrinsic regulator activity","cytoplasm*"
2058,"YHR137W","ARO9",,0.61,1.19,1.06,0.3,"aromatic amino acid family metabolism","aromatic-amino-acid transaminase activity","cytoplasm*"
2059,"YMR158C-B",,,1.55,0.83,0.42,1.29,,,
2060,"YGL056C","SDS23",,1.67,1.59,0.4,0.55,"biological_process unknown","molecular_function unknown","cytoplasm*"
2061,"YBL094C",,,0.58,0.86,0.57,1.11,,,
2062,"YPR042C","PUF2",,0.9,0.84,1.02,0.68,"mRNA catabolism, deadenylation-dependent","mRNA binding","cytoplasm"
2063,"YER055C","HIS1",,0.54,0.86,1.73,-0.05,"histidine biosynthesis","ATP phosphoribosyltransferase activity","cell"
2064,"YDR058C","TGL2",,0.55,1.19,1.39,-0.05,"lipid metabolism","triacylglycerol lipase activity","cellular_component unknown"
2065,"YKL218C",,,2.15,1.54,0.63,0.37,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2066,"YLR282C",,,0.9,1.1,0.66,0.77,,,
2067,"YER060W","FCY21",,1.46,1.04,1.33,0.16,"biological_process unknown","cytosine-purine permease activity","integral to membrane"
2068,"YPL260W",,,2.27,1.83,0.42,0.29,"biological_process unknown","molecular_function unknown","cytoplasm*"
2069,"YAR023C",,,1.37,0.82,1.25,0.46,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2070,"YOL114C",,,0.56,1.05,0.71,0.77,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2071,"YFL034W",,,1.07,0.74,1.31,0.48,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2072,"YKL174C",,,0.75,0.7,0.6,1.23,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2073,"YJL211C",,,0.55,0.26,0.01,2.26,,,
2074,"YPL199C",,,1.16,1.65,0.52,0.36,"biological_process unknown","molecular_function unknown","cytoplasm"
2075,"YLR433C","CNA1",,1.53,2.01,0.22,0.29,"cell wall organization and biogenesis*","calcium-dependent protein serine/threonine phosphatase activity","cytoplasm"
2076,"YMR259C",,,2.31,1.39,0.96,0.17,"biological_process unknown","molecular_function unknown","cytoplasm"
2077,"YBR180W","DTR1",,1.01,1.39,0.85,0.29,"spore wall assembly (sensu Saccharomyces)*","multidrug transporter activity*","prospore membrane"
2078,"YMR173W","DDR48",,1.07,0.99,1.36,0.17,"DNA repair","molecular_function unknown","cytoplasm"
2079,"YDR089W",,,1.2,1.23,0.95,0.33,"membrane organization and biogenesis","molecular_function unknown","membrane"
2080,"YLL030C",,,0.39,0.97,0.64,0.91,,,
2081,"YML068W","ITT1",,1.03,0.87,1.59,0.05,"regulation of translational termination","molecular_function unknown","cellular_component unknown"
2082,"YLR194C",,,1.18,1.07,0.87,0.58,"biological_process unknown","molecular_function unknown","cell wall (sensu Fungi)"
2083,"YMR251W",,,2.02,1,1.5,0.01,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2084,"YMR031C",,,1.39,1.08,1.56,-0.13,"biological_process unknown","molecular_function unknown","cytoplasm"
2085,"YPR146C",,,0.29,0.3,0.12,2.09,,,
2086,"YGR041W","BUD9",,0.79,1.14,0.94,0.42,"bud site selection","molecular_function unknown","bud neck"
2087,"YBR150C","TBS1",,1.43,0.89,1.19,0.43,"biological_process unknown","molecular_function unknown","cytoplasm*"
2088,"YGR018C",,,0.82,0.86,1.19,0.45,,,
2089,"YAR035W","YAT1",,2,0.93,1.48,0.1,"alcohol metabolism*","carnitine O-acetyltransferase activity","mitochondrion"
2090,"YMR304C-A",,,2.31,1.68,0.92,-0.09,,,
2091,"YLR429W","CRN1",,2.06,1.84,0.56,0.11,"actin filament organization*","microtubule binding*","actin cortical patch (sensu Saccharomyces)"
2092,"YPL256C","CLN2",,1.46,1.1,0.92,0.48,"regulation of CDK activity*","cyclin-dependent protein kinase, intrinsic regulator activity","cytoplasm*"
2093,"YDR284C","DPP1",,0.45,0.73,1.18,0.59,"phospholipid metabolism","diacylglycerol pyrophosphate phosphatase activity*","vacuolar membrane (sensu Fungi)"
2094,"YBR006W","UGA2",,0.7,0.39,0.41,1.71,"response to oxidative stress*","succinate-semialdehyde dehydrogenase [NAD(P)] activity","cytoplasm"
2095,"YCL064C","CHA1",,0.69,1.24,1.14,0.13,"threonine catabolism*","L-serine ammonia-lyase activity*","mitochondrion"
2096,"YLR170C","APS1",,0.96,0.8,0.69,1.01,"vesicle-mediated transport","clathrin binding","AP-1 adaptor complex"
2097,"YNL082W","PMS1",,0.95,0.9,1.34,0.26,"meiosis*","DNA binding*","nuclear chromosome"
2098,"YOR313C","SPS4",,1.03,1.28,0.87,0.35,"meiosis*","molecular_function unknown","cellular_component unknown"
2099,"YOR303W","CPA1",,0.96,1.49,1.65,-0.65,"arginine biosynthesis","carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","cytosol"
2100,"YDR111C","ALT2",,1.15,0.98,1.29,0.23,"biological_process unknown","transaminase activity","cytoplasm*"
2101,"YOR156C","NFI1",,1.61,1.53,0.21,0.76,"chromosome condensation","molecular_function unknown","cytoplasm*"
2102,"YGR263C",,,0.97,0.79,0.61,1.09,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
2103,"YDR030C","RAD28",,1.25,1.29,1,0.21,"DNA repair","molecular_function unknown","nucleus"
2104,"YPL073C",,,0.64,1.93,0.35,0.22,,,
2105,"YKR100C",,,0.62,0.7,1.87,-0.07,"biological_process unknown","molecular_function unknown","bud"
2106,"YBR183W","YPC1",,0.67,0.74,1.57,0.19,"ceramide metabolism","ceramidase activity","endoplasmic reticulum"
2107,"YPR128C","ANT1",,1.51,1.07,1.14,0.29,"peroxisome organization and biogenesis*","adenine nucleotide transporter activity","cytoplasm*"
2108,"YKL132C","RMA1",,2.08,1.93,0.28,0.28,"biological_process unknown","tetrahydrofolylpolyglutamate synthase activity","cellular_component unknown"
2109,"YDL144C",,,0.83,0.95,1.35,0.18,"biological_process unknown","molecular_function unknown","cytoplasm*"
2110,"YIL079C","AIR1",,1.6,1.27,0.98,0.23,"mRNA-nucleus export","molecular_function unknown","nucleus*"
2111,"YDR179W-A",,,1.7,1.2,0.48,0.8,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2112,"YDR312W","SSF2",,1.08,0.94,0.79,0.74,"ribosomal large subunit assembly and maintenance*","rRNA binding","nucleolus"
2113,"YFR016C",,,0.49,1.19,1.58,-0.3,"biological_process unknown","molecular_function unknown","cytoplasm*"
2114,"YIR018W","YAP5",,1.35,1.16,0.57,0.74,"positive regulation of transcription from Pol II promoter","RNA polymerase II transcription factor activity","nucleus"
2115,"YNL085W","MKT1",,0.67,1.51,0.83,0.13,"viral life cycle","molecular_function unknown","cytoplasm"
2116,"YNL179C","SRF6",,1.37,1.13,1.13,0.21,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2117,"YDR199W",,,1.54,1.18,0.58,0.72,,,
2118,"YDL179W","PCL9",,0.94,1.19,1.55,-0.28,"cell cycle","cyclin-dependent protein kinase, intrinsic regulator activity","cyclin-dependent protein kinase holoenzyme complex"
2119,"YOR245C","DGA1",,0.82,1.06,0.15,1.25,"triacylglycerol biosynthesis*","diacylglycerol O-acyltransferase activity","lipid particle"
2120,"YLR073C",,,0.95,1.07,0.96,0.43,"biological_process unknown","molecular_function unknown","endosome"
2121,"YMR292W","GOT1",,2.08,0.99,1.39,0.08,"ER to Golgi transport*","molecular_function unknown","Golgi membrane"
2122,"YJL151C","SNA3",,1.23,0.77,1.4,0.3,"biological_process unknown","molecular_function unknown","membrane*"
2123,"YOR229W","WTM2",,1.05,0.97,0.44,1.05,"regulation of meiosis","transcription co-repressor activity","nucleus"
2124,"YGR028W","MSP1",,1.36,0.81,1.49,0.17,"mitochondrial translocation","ATPase activity","mitochondrial outer membrane"
2125,"YLR001C",,,0.83,0.89,0.64,0.93,"biological_process unknown","molecular_function unknown","vacuolar membrane (sensu Fungi)"
2126,"YGL110C","CUE3",,1.07,1.04,1.41,0.02,"biological_process unknown","molecular_function unknown","cytoplasm"
2127,"YLR333C","RPS25B",,2.19,1.6,0.4,0.47,"protein biosynthesis","structural constituent of ribosome","cytosolic small ribosomal subunit (sensu Eukarya)"
2128,"YMR245W",,,2.01,1.15,1.29,0.02,,,
2129,"YGR080W","TWF1",,2,1.24,0.4,0.82,"polar budding*","actin monomer binding","actin cortical patch (sensu Saccharomyces)"
2130,"YDR084C","TVP23",,0.85,0.67,0.64,1.14,"biological_process unknown","molecular_function unknown","cytoplasm"
2131,"YFL052W",,,0.9,0.86,1.52,0.07,"biological_process unknown","DNA binding","cellular_component unknown"
2132,"YMR194C-A",,,0.83,0.98,0.8,0.67,,,
2133,"YJR038C",,,1.55,1.03,1.05,0.38,,,
2134,"YER162C","RAD4",,0.82,0.83,1.41,0.21,"nucleotide-excision repair, DNA damage recognition","damaged DNA binding","repairosome*"
2135,"YKL129C","MYO3",,0.77,0.71,0.92,0.83,"cell wall organization and biogenesis*","microfilament motor activity","actin cortical patch (sensu Saccharomyces)"
2136,"YOL045W","PSK2",,1.67,1.64,0.45,0.37,"protein amino acid phosphorylation*","protein serine/threonine kinase activity","cytoplasm"
2137,"YOR216C","RUD3",,0.65,0.39,0.1,1.96,"ER to Golgi transport","molecular_function unknown","Golgi apparatus"
2138,"YLR318W","EST2",,2.13,1.56,0.47,0.42,"telomerase-dependent telomere maintenance","telomeric template RNA reverse transcriptase activity","nucleus*"
2139,"YNL293W","MSB3",,1.6,1.36,1.09,0,"actin filament organization*","Rab GTPase activator activity","bud tip*"
2140,"YKL137W",,,1.23,0.84,0.69,0.92,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2141,"YDL170W","UGA3",,2,1.65,0.57,0.23,"regulation of transcription from Pol II promoter*","specific RNA polymerase II transcription factor activity","nucleus"
2142,"YNL115C",,,1.01,0.69,1.65,0.11,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
2143,"YBR038W","CHS2",,0.47,1.41,0.94,0.09,"response to osmotic stress*","chitin synthase activity","contractile ring (sensu Saccharomyces)"
2144,"YIR044C",,,1.07,0.94,1.28,0.23,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2145,"YKL007W","CAP1",,2.15,1.14,0.37,0.93,"cell wall organization and biogenesis*","F-actin capping activity","actin cortical patch (sensu Saccharomyces)*"
2146,"YNR064C",,,2.17,2.05,0.3,0.09,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2147,"YDL202W","MRPL11",,1.99,1.17,0.49,0.78,"protein biosynthesis","structural constituent of ribosome","mitochondrial large ribosomal subunit"
2148,"YDR335W","MSN5",,0.81,0.87,1.34,0.22,"protein-nucleus export","protein binding*","nucleus"
2149,"YJR124C",,,1.04,0.96,1.32,0.15,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2150,"YFR014C","CMK1",,1.05,0.88,1.62,-0.07,"protein amino acid phosphorylation*","calmodulin-dependent protein kinase I activity","cytoplasm"
2151,"YKL079W","SMY1",,1.5,1.75,0.36,0.33,"exocytosis","motor activity","bud neck*"
2152,"YDL127W","PCL2",,1.29,0.89,1.17,0.38,"cell cycle","cyclin-dependent protein kinase, intrinsic regulator activity","cyclin-dependent protein kinase holoenzyme complex"
2153,"YOR163W","DDP1",,1.24,1.88,0.21,0.35,"diadenosine polyphosphate metabolism","diphosphoinositol-polyphosphate diphosphatase activity","cytoplasm*"
2154,"YBR259W",,,1.76,1.34,0.24,0.84,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2155,"YGR222W","PET54",,0,0.02,0.01,2.39,"protein biosynthesis*","RNA binding*","mitochondrial inner membrane*"
2156,"YLR263W","RED1",,1.01,1.7,0.62,0.11,"synaptonemal complex formation","molecular_function unknown","synaptonemal complex"
2157,"YPL107W",,,0.82,1.32,0.8,0.31,"biological_process unknown","molecular_function unknown","mitochondrion"
2158,"YCL028W","RNQ1",,1.03,1.38,0.52,0.53,"biological_process unknown","molecular_function unknown","cytosol"
2159,"YDR010C",,,1.15,1,1.32,0.11,,,
2160,"YOL030W","GAS5",,2.22,1.48,0.78,0.16,"biological_process unknown","molecular_function unknown","cell wall (sensu Fungi)"
2161,"YIL067C",,,1.41,1.69,0.46,0.27,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
2162,"YJR061W",,,2.11,1.29,0.45,0.68,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2163,"YBL046W",,,1.68,0.91,0.04,1.47,"biological_process unknown","molecular_function unknown","nucleus"
2164,"YKR073C",,,0.45,0.46,0.07,1.89,,,
2165,"YDL134C","PPH21",,2.22,1.19,0.43,0.8,"protein biosynthesis*","protein phosphatase type 2A activity","protein phosphatase type 2A complex"
2166,"YOR215C",,,0.88,0.65,0.08,1.69,"biological_process unknown","molecular_function unknown","mitochondrion"
2167,"YAL027W",,,1.54,1.13,1.5,-0.21,"biological_process unknown","molecular_function unknown","nucleus"
2168,"YDR202C","RAV2",,1.8,1.07,0.61,0.73,"vacuolar acidification","molecular_function unknown","hydrogen-transporting ATPase V1 domain"
2169,"YNL305C",,,1.39,1.1,1.06,0.25,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
2170,"YPR096C",,,1.27,1.28,0.57,0.56,,,
2171,"YLR356W",,,1.24,0.9,0.75,0.76,"biological_process unknown","molecular_function unknown","mitochondrion"
2172,"YLR332W","MID2",,1.52,1.07,0.68,0.66,"cell wall organization and biogenesis*","transmembrane receptor activity","integral to plasma membrane"
2173,"YKL066W",,,1.56,1.47,0.23,0.7,,,
2174,"YLR011W","LOT6",,0.91,0.77,0.44,1.2,"biological_process unknown","molecular_function unknown","cytoplasm*"
2175,"YOR378W",,,1.17,1.1,0.98,0.32,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2176,"YDR026C",,,0.82,1.08,1.1,0.23,"biological_process unknown","molecular_function unknown","nucleolus"
2177,"YGL006W","PMC1",,0.83,0.8,1.41,0.2,"calcium ion transport*","calcium-transporting ATPase activity","vacuolar membrane (sensu Fungi)"
2178,"YDL203C",,,0.84,0.71,0.56,1.13,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2179,"YBL063W","KIP1",,1.44,1.45,0.43,0.52,"microtubule nucleation*","structural constituent of cytoskeleton*","spindle pole body*"
2180,"YLL052C","AQY2",,0.52,1.08,0.66,0.66,"water transport","water channel activity","plasma membrane*"
2181,"YDR057W","YOS9",,2.19,1.77,0.21,0.41,"ER to Golgi transport","protein transporter activity","endoplasmic reticulum"
2182,"YNL316C","PHA2",,2.21,0.59,0.37,1.44,"phenylalanine biosynthesis, prephenate pathway","prephenate dehydratase activity","cytoplasm"
2183,"YIL158W",,,0.56,0.48,0.77,1.14,"biological_process unknown","molecular_function unknown","vacuole (sensu Fungi)"
2184,"YOL065C","INP54",,1.52,1.72,0.31,0.35,"exocytosis","inositol-polyphosphate 5-phosphatase activity","endoplasmic reticulum"
2185,"YEL001C",,,0.94,1.09,1.71,-0.41,"biological_process unknown","molecular_function unknown","endoplasmic reticulum"
2186,"YDR032C","PST2",,1.66,0.86,1.33,0.2,"biological_process unknown","molecular_function unknown","cytoplasm"
2187,"YBR042C",,,1.67,1.71,0.98,-0.31,"phospholipid biosynthesis","acyltransferase activity","lipid particle"
2188,"YCL057W","PRD1",,1.16,1.35,0.79,0.25,"proteolysis and peptidolysis","metalloendopeptidase activity*","cytoplasm*"
2189,"YKR046C","PET10",,1.41,0.78,0.97,0.63,"aerobic respiration","molecular_function unknown","lipid particle"
2190,"YNL049C","SFB2",,1.54,1.29,0.89,0.2,"ER to Golgi transport","molecular_function unknown","COPII vesicle coat"
2191,"YMR273C","ZDS1",,2.25,1.83,0.5,0.04,"establishment of cell polarity (sensu Saccharomyces)*","protein binding","cytoplasm*"
2192,"YCR099C",,,1.05,0.83,0.39,1.16,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2193,"YNL286W","CUS2",,0.97,1.41,0.68,0.29,"nuclear mRNA splicing, via spliceosome","RNA binding","snRNP U2"
2194,"YOL075C",,,1.27,1.01,1.1,0.27,"transport","ATP-binding cassette (ABC) transporter activity","membrane"
2195,"YBR066C","NRG2",,1.08,1.8,0.73,-0.16,"invasive growth","transcriptional repressor activity","nucleus"
2196,"YNL143C",,,2.04,1.52,0.42,0.43,,,
2197,"YDR371W","CTS2",,0.94,0.88,1.21,0.28,"biological_process unknown","molecular_function unknown","cytoplasm"
2198,"YOR376W",,,0.8,1.22,0.48,0.67,,,
2199,"YKL074C","MUD2",,1.61,1.58,0.31,0.48,"U2-type nuclear mRNA branch site recognition","pre-mRNA splicing factor activity*","commitment complex"
2200,"YLR367W","RPS22B",,1.29,0.81,0.25,1.3,"protein biosynthesis","structural constituent of ribosome","cytosolic small ribosomal subunit (sensu Eukarya)"
2201,"YJR025C","BNA1",,1.24,1.57,0.6,0.2,"nicotinamide adenine dinucleotide biosynthesis","3-hydroxyanthranilate 3,4-dioxygenase activity","cytoplasm"
2202,"YMR088C",,,0.57,0.82,0.75,0.79,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2203,"YJR099W","YUH1",,1.17,1.17,0.72,0.48,"protein deubiquitination","ubiquitin-specific protease activity","cytoplasm"
2204,"YHR096C","HXT5",,1.04,1.35,1.47,-0.45,"hexose transport","glucose transporter activity*","plasma membrane"
2205,"YPR167C","MET16",,0.02,0.12,0.26,1.99,"methionine metabolism*","phosphoadenylyl-sulfate reductase (thioredoxin) activity","intracellular"
2206,"YBR186W","PCH2",,1.89,0.89,0.98,0.49,"regulation of meiosis","molecular_function unknown","nucleolus"
2207,"YGL117W",,,1.73,1.15,1.09,0.12,"biological_process unknown","molecular_function unknown","cellular_component unknown"
2208,"YBL010C",,,2.01,1.16,0.59,0.61,"biological_process unknown","molecular_function unknown","clathrin-coated vesicle"
2209,"YML104C","MDM1",,1.81,0.99,0.22,1.14,"mitochondrion organization and biogenesis*","structural constituent of cytoskeleton","cytoplasm*"
2210,"YML079W",,,1.75,1.45,0.45,0.46,"biological_process unknown","molecular_function unknown","cytoplasm*"
2211,"YFL031W","HAC1",,0.81,0.57,1.04,0.75,"regulation of transcription from Pol II promoter*","specific RNA polymerase II transcription factor activity","nucleus"
2212,"YDR401W",,,0.72,0.92,1.13,0.31,,,
2213,"YLL026W","HSP104",,1.53,1.62,0.3,0.44,"response to stress*","heat shock protein activity*","cytoplasm*"
2214,"YOR178C","GAC1",,1.96,1.3,0.27,0.79,"meiosis*","protein phosphatase type 1 activity*","protein phosphatase type 1 complex"
2215,"YJR009C","TDH2",,1.17,1.51,0.2,0.65,"gluconeogenesis*","glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity","cytoplasm*"
